item_id,order_id,product_category,product_name,quantity,unit_price,total_price
1,1,Books,Books_Product_16,1,36.53,36.53
2,1,Clothing,Clothing_Product_40,3,124.74,374.22
3,1,Home & Garden,Home & Garden_Product_23,1,236.71,236.71
4,2,Books,Books_Product_6,3,33.93,101.79
5,3,Clothing,Clothing_Product_3,3,36.83,110.49
6,3,Electronics,Electronics_Product_42,1,273.47,273.47
7,3,Clothing,Clothing_Product_2,1,82.09,82.09
8,3,Books,Books_Product_35,1,11.05,11.05
9,3,Home & Garden,Home & Garden_Product_48,3,132.43,397.29
10,4,Home & Garden,Home & Garden_Product_45,2,44.08,88.16
11,5,Clothing,Clothing_Product_8,1,75.49,75.49
12,5,Clothing,Clothing_Product_23,2,136.63,273.26
13,6,Clothing,Clothing_Product_15,1,139.35,139.35
14,6,Electronics,Electronics_Product_48,2,54.52,109.04
15,7,Home & Garden,Home & Garden_Product_47,1,297.55,297.55
16,7,Electronics,Electronics_Product_9,1,75.6,75.6
17,7,Clothing,Clothing_Product_23,2,56.74,113.48
18,7,Home & Garden,Home & Garden_Product_9,2,270.41,540.82
19,7,Home & Garden,Home & Garden_Product_43,1,159.25,159.25
20,8,Electronics,Electronics_Product_32,1,472.27,472.27
21,9,Sports,Sports_Product_46,2,175.28,350.56
22,9,Clothing,Clothing_Product_19,3,67.7,203.1
23,9,Sports,Sports_Product_21,2,67.74,135.48
24,10,Clothing,Clothing_Product_46,2,27.02,54.04
25,10,Books,Books_Product_14,1,29.45,29.45
26,10,Books,Books_Product_15,3,43.66,130.98
27,10,Clothing,Clothing_Product_24,1,91.89,91.89
28,10,Home & Garden,Home & Garden_Product_16,1,242.74,242.74
29,11,Home & Garden,Home & Garden_Product_2,1,152.52,152.52
30,11,Clothing,Clothing_Product_38,2,24.39,48.78
31,11,Clothing,Clothing_Product_4,1,127.53,127.53
32,11,Electronics,Electronics_Product_2,2,324.39,648.78
33,12,Clothing,Clothing_Product_25,1,25.77,25.77
34,12,Electronics,Electronics_Product_43,1,243.99,243.99
35,12,Clothing,Clothing_Product_2,2,90.4,180.8
36,12,Books,Books_Product_17,2,40.18,80.36
37,13,Electronics,Electronics_Product_40,3,62.31,186.93
38,13,Clothing,Clothing_Product_48,3,75.58,226.74
39,13,Sports,Sports_Product_25,3,166.29,498.87
40,13,Books,Books_Product_35,2,47.3,94.6
41,13,Clothing,Clothing_Product_50,3,94.44,283.32
42,14,Electronics,Electronics_Product_48,2,482.14,964.28
43,14,Books,Books_Product_18,1,19.53,19.53
44,14,Sports,Sports_Product_16,1,191.42,191.42
45,14,Sports,Sports_Product_26,3,76.77,230.31
46,14,Electronics,Electronics_Product_43,2,173.42,346.84
47,15,Sports,Sports_Product_1,3,166.8,500.4
48,15,Electronics,Electronics_Product_17,2,305.8,611.6
49,15,Sports,Sports_Product_29,1,102.67,102.67
50,16,Clothing,Clothing_Product_41,2,145.57,291.14
51,17,Electronics,Electronics_Product_18,1,76.36,76.36
52,17,Sports,Sports_Product_29,1,121.5,121.5
53,17,Electronics,Electronics_Product_17,2,394.69,789.38
54,17,Sports,Sports_Product_12,3,47.26,141.78
55,17,Electronics,Electronics_Product_15,1,328.08,328.08
56,18,Home & Garden,Home & Garden_Product_29,3,79.75,239.25
57,19,Clothing,Clothing_Product_4,1,91.94,91.94
58,19,Books,Books_Product_2,2,49.68,99.36
59,19,Home & Garden,Home & Garden_Product_35,2,261.52,523.04
60,19,Home & Garden,Home & Garden_Product_7,2,192.16,384.32
61,19,Electronics,Electronics_Product_5,3,249.72,749.16
62,20,Electronics,Electronics_Product_27,3,306.66,919.98
63,20,Electronics,Electronics_Product_10,2,241.91,483.82
64,21,Clothing,Clothing_Product_27,2,122.46,244.92
65,22,Clothing,Clothing_Product_2,3,146.56,439.68
66,22,Electronics,Electronics_Product_38,1,70.07,70.07
