order_id,customer_id,order_date,status,order_total
1,1,2025-07-18 14:26:25.534936,Completed,647.46
2,1,2024-12-14 14:26:25.535226,Completed,101.79
3,1,2025-08-26 14:26:25.535355,Cancelled,874.3900000000001
4,1,2025-06-27 14:26:25.535448,Completed,88.16
5,1,2025-08-30 14:26:25.535542,Completed,348.75
6,1,2025-10-05 14:26:25.535625,Completed,248.39
7,2,2025-10-12 14:26:25.536244,Completed,1186.7
8,2,2025-05-18 14:26:25.536377,Completed,472.27
9,2,2025-05-31 14:26:25.536477,Completed,689.14
10,2,2025-10-22 14:26:25.536594,Completed,549.1
11,2,2025-08-06 14:26:25.536657,Completed,977.61
12,2,2026-01-14 14:26:25.536739,Completed,530.9200000000001
13,2,2025-07-22 14:26:25.536807,Cancelled,1290.46
14,2,2025-03-31 14:26:25.536858,Completed,1752.3799999999999
15,2,2025-10-14 14:26:25.536905,Completed,1214.67
16,2,2025-03-25 14:26:25.536952,Completed,291.14
17,2,2025-08-24 14:26:25.536998,Completed,1457.1
18,2,2025-10-30 14:26:25.537046,Cancelled,239.25
19,2,2025-07-05 14:26:25.537093,Completed,1847.82
20,2,2025-06-15 14:26:25.537144,Completed,1403.8
21,2,2025-07-09 14:26:25.537194,Returned,244.92
22,2,2025-08-06 14:26:25.537250,Completed,1157.8899999999999
23,2,2026-02-05 14:26:25.537313,Cancelled,646.27
24,2,2025-05-16 14:26:25.537361,Completed,1700.1
25,2,2026-02-26 14:26:25.537406,Completed,591.19
26,2,2025-08-09 14:26:25.537521,Completed,2320.1800000000003
27,3,2024-05-31 14:26:25.538066,Completed,930.01
28,3,2024-09-23 14:26:25.538152,Returned,1478.78
29,4,2025-06-01 14:26:25.538684,Completed,2383.1800000000003
30,4,2025-05-26 14:26:25.538820,Completed,2260.83
31,4,2026-03-12 14:26:25.538905,Completed,2134.0499999999997
32,4,2025-04-12 14:26:25.538977,Completed,1389.32
33,4,2025-11-05 14:26:25.539029,Completed,517.04
34,4,2025-05-31 14:26:25.539081,Returned,839.26
35,4,2026-03-02 14:26:25.539130,Completed,1801.3600000000001
36,4,2025-12-23 14:26:25.539187,Completed,646.03
37,4,2025-07-25 14:26:25.539237,Completed,1050.28
38,4,2025-06-30 14:26:25.539293,Completed,229.53
39,4,2025-04-23 14:26:25.539340,Completed,1326.6
40,4,2025-08-08 14:26:25.539410,Completed,416.66
41,4,2025-10-31 14:26:25.539508,Cancelled,966.62
42,4,2025-12-20 14:26:25.539575,Completed,823.72
43,4,2025-05-27 14:26:25.539636,Completed,873.48
